"JDG.6.1", "Na Israelmba no yɛɛ dza omuo wɔ EWURADZE enyi do: na EWURADZE dze hɔn hyɛɛ Midianfo nsa mfe esuon.", ""
"JDG.6.2", "Na Midian ne nsa daa Israel do: na osian Midian ntsi Israelmba no yɛɛ etu wɔ mbepɔw mu, na abo etu, na guansumabew maa hɔnho.", ""
"JDG.6.3", "Na ɔbaa dɛ, sɛ Israel dua a, nna Midianfo, na Amalekfo, na boka afamu mba no afow aba hɔn do;", ""
"JDG.6.4", "na wɔbɛkyer hɔn do nsera, na wɔsɛɛ asaase no do ndɔbaa, dze kodu Gaza, na wonngyaa akɔhomabɔdze biara, dɛ oguan, anaa ɔnantwi, anaa asoaso biara wɔ Israel.", ""
"JDG.6.5", "Na wɔdze hɔn fiembowa na hɔn asesee bae, wɔba dɛ mbɛbɛw wɔ ɔdodow mu; hɔn na hɔn efumpɔnkɔ nyina wobu ano a ɔnnyɛ yie: na wɔbaa asaase no do dɛ wɔrebɛsɛɛ no.", ""
"JDG.6.6", "Na osian Midian ntsi wɔbrɛɛ Israel adze dodoodow; na Israelmba no sui frɛɛ EWURADZE.", ""
"JDG.6.7", "Na ɔbaa dɛ, aber a osian Midian ntsi ma Israelmba no sui frɛɛ EWURADZE no,", ""
"JDG.6.8", "EWURADZE somaa nkɔnhyɛnyi bi wɔ Israelmba no hɔ: na ɔsee hɔn dɛ, Mbrɛ EWURADZE, Israel Nyankopɔn no, ɔse nye yi, Emi na medze hom fi Egypt bae, na miyii hom fii nkowaasom fi mu no;", ""
"JDG.6.9", "na megyee hom fii Egyptfo nsamu, na hɔn a wɔhaaw hom nyinara nsamu, na mutuu hɔn fii hom enyim, na medze hɔn asaase maa hom;", ""
"JDG.6.10", "na mesee hom dɛ, Emi nye EWURADZE hom Nyankopɔn; mma hom nnsom Amorifo a hom tse hɔn asaase do no hɔn enyame: naaso hom enntsie me ndze.", ""
"JDG.6.11", "Na EWURADZE no bɔfoe no bae, na ɔbɛtsenaa osudur a ɔwɔ Ofra a ɔyɛ Abiezernyi Joas dze no n’ase: nna ne babanyin Gideon roporow ewu wɔ nsatwer no mu, na ɔdze rusuma Midianfo no.", ""
"JDG.6.12", "Na EWURADZE no bɔfoe no yii noho kyerɛɛ no, na ɔsee no dɛ, EWURADZE dzi w’ekyir, ɔwo ɔbarimba a eyɛ ndam.", ""
"JDG.6.13", "Na Gideon see no dɛ, Ao mo wura, sɛ EWURADZE dzi hɛn ekyir a, nkyɛ ɔyɛ dɛn ntsi na iyi nyinara aba hɛn do yi? Na hen na n’anwanwa dwuma nyinara a hɛn egyanom kaa hɛn ho asɛm dɛ, Ana nnyɛ Egypt na EWURADZE yii hɛn fii bae no, wɔ? Na afei EWURADZE atow hɛn akyen, na ɔdze hɛn ahyɛ Midian nsa.", ""
"JDG.6.14", "Na EWURADZE hwɛɛ no, na ɔsee no dɛ, Kɔ no w’abanyinndam yi ara mu, na kɛgye Israel fi Midian nsamu. Ɔsoma na masoma wo?", ""
"JDG.6.15", "Na Gideon bisaa no dɛ, Ao EWURADZE, Ebɛnadze na medze bɛgye Israel nkwa? Hwɛ, m’ebusua na ɔyɛ mbɔbɔr dodow wɔ Manaasɛ mu, na emi na musuar koraa wɔ m’egya fie.", ""
"JDG.6.16", "Na EWURADZE see no dɛ, Ampa mibedzi w’ekyir, na iboku Midianfo dɛ nyimpa baako.", ""
"JDG.6.17", "Na Gideon see no dɛ, Sɛ afei menya w’enyim enyimnyam a, ɔno kyerɛ me asɛnkyerɛdze dɛ ɔwoara na enye me rekasa yi.", ""
"JDG.6.18", "Meserɛ wo, mma mmfi ha nnkɔ, ma membra wo nkyɛn, memfa m’ayɛyɛdze mbɔto w’enyim ana. Na ɔsee dɛ, Mibetsintsim araa ma asan aba ana.", ""
"JDG.6.19", "Na Gideon kɔree, na okesiesiee apɔnkyeba, na isiam efa kor n’epitsi tatar: enam no ɔdze too kɛntsɛn mu, na ohuee nkwan no guu nkwansɛn no mu, na ɔdze fiir edzi baa ne nkyɛn wɔ osudur no ase, na ɔdze brɛɛ no.", ""
"JDG.6.20", "Na Nyame no bɔfoe no see no dɛ, Fa nam no na epitsi tatar no, na fa gu ɔbotan yi do, na hue nkwan no gu. Na ɔyɛɛ dɛm.", ""
"JDG.6.21", "Nna EWURADZE no bɔfoe no tseen poma a ɔdze ne nsamu no n’ano, na ɔdze kaa nam no na epitsi tatar no; na ogya fi ɔbotan no mu puei, na ɔbɛhyeew nam na epitsi tatar no; na EWURADZE no bɔfoe no fi n’enyi do kɔree.", ""
"JDG.6.22", "Na Gideon hun dɛ ɔyɛ EWURADZE no bɔfoe; na Gideon tseaa mu dɛ, Ao, EWURADZE Nyankopɔn! Afei mehu EWURADZE no bɔfoe enyim na enyim.", ""
"JDG.6.23", "Na EWURADZE see no dɛ, Asomdwee nka wo; mma nnsuro: innkowu bi.", ""
"JDG.6.24", "Nna Gideon sii afɔrmbukyia wɔ hɔ maa EWURADZE, na ɔfrɛɛ no YHWH-salom a ase nye EWURADZE nye Asomdwee: na ɔda ho ara wɔ Abiezerfo Ofra dze bodu ndɛ da yi.", ""
"JDG.6.25", "Na ɔbaa dɛ anadwe no ara, EWURADZE see no dɛ, Fa w’egya ne nantwisaa no, mekyerɛ ɔnantwisaa a otsia ebien a oedzi mfe esuon no, na kodwuruw Baal n’afɔrmbukyia a w’egya wɔ no, na twa Asera a osi ho no kyen:", ""
"JDG.6.26", "na si afɔrmbukyia ma EWURADZE wo Nyankopɔn wɔ guansumabew yi etsifi, wɔ ne kyenan do, na fa ɔnantwisaa a otsia ebien no, na fa ka Asera a itwae no ne nyena no ho bɔ ɔhyew afɔr.", ""
"JDG.6.27", "Nna Gideon faa no nkowaa mu mbarimba du, na ɔyɛɛ hɔn dɛ mbrɛ EWURADZE kaa kyerɛɛ no no: na osiandɛ osuroo n’egya fifo, na ekuromfo no ntsi ma oenntum annyɛ no ewia no, nna ɔyɛɛ no anadwe.", ""
"JDG.6.28", "Na aber a ekuromfo no soɛɛr anapaatu no, hwɛ, Baal n’afɔrmbukyia no woedwuruw, na Asera a osi ho no woetwa akyen, na ɔnantwisaa a otsia ebien no wɔdze abɔ afɔr wɔ afɔrmbukyia a woesi no do.", ""
"JDG.6.29", "Na wobisaa hɔnho nkorkor dɛ, Woana na ɔyɛɛ dɛm adze yi? Na aber a wɔhwehwɛe na wobisabisae no, wɔsee dɛ, Joas ne babanyin Gideon na ɔyɛɛ dɛm adze yi.", ""
"JDG.6.30", "Na ekuromfo no see Joas dɛ, Yi wo ba no bra, ma ombowu; osiandɛ oedwuruw Baal n’afɔrmbukyia, na oetwa Asera a osi ho no akyen.", ""
"JDG.6.31", "Nna Joas buaa hɔn a wogyinagyina no do no nyinara dɛ, Ana hom na woribedzi Baal n’asɛm ama no anaa? Anaa hom na wɔrebɛgye no? Nyia obedzi n’asɛm ama no no, wɔmma wonku no anapa yi ara: sɛ ɔyɛ nyame a, wɔmma ondzi noara n’asɛm, osiandɛ obi edwuruw n’afɔrmbukyia.", ""
"JDG.6.32", "Dɛm ntsi ɔfrɛɛ no Jerubaal da no ara, dɛ, Wɔmma Baal ndzi ntsia no, dɛ oedwuruw n’afɔrmbukyia ntsi.", ""
"JDG.6.33", "Nna Midianfo na Amalekfo na boka afamu mba no nyinara poon hɔnho hyiae; na wotwae, na wɔkɛkyeer nsera wɔ Jezreel ɔbɔn mu.", ""
"JDG.6.34", "Na EWURADZE no sunsum baa Gideon do; na ɔhɛɛn abɛn; na Abiezer boaa ano kedzii n’ekyir.", ""
"JDG.6.35", "Na ɔsomaa abɔfo ma wɔkɔr Manaasɛ nyinara; na hɔn so wɔboaa ano kedzii n’ekyir: na ɔsomaa abɔfo ma wɔkɔr Aser, na Zebulun, na Naftali hɔ; na wɔfowee bae behyiaa no.", ""
"JDG.6.36", "Na Gideon see Nyankopɔn dɛ, Sɛ enam me nsa do bɛgye Israel nkwa dɛ mbrɛ aka no a,", ""
"JDG.6.37", "hwɛ, medze oguannhwi mebɛhata ewuporoweebea; sɛ ɔbɔsu tɔ gu oguannhwi no nko do, na famu hɔ yɛ wesee a, ɔno na mubohu dɛ ɔwo enam me nsa do ebɛgye Israel nkwa dɛ mbrɛ aka no.", ""
"JDG.6.38", "Na ɔyɛɛ dɛm: osiandɛ n’adzekyee no ɔsoɛɛr anapaatu, na ɔkaa nguannhwi no bɔɔ mu miae, na okyii ɔbɔsu no wɔ oguannhwi no mu, nsukora ma.", ""
"JDG.6.39", "Na Gideon see Nyankopɔn dɛ, Mma w’ebufuw nndzɛw mo do, na mebɛkasa prɛko yi ara bio: Meserɛ wo, ma memfa oguannhwi no monsɔ monhwɛ prɛko yi ara bio; afei ma oguannhwi no nko no do nyɛ wesee, na ɔbɔsu no ntɔ ngu famu hɔ nyinara.", ""
"JDG.6.40", "Na Nyankopɔn yɛɛ dɛm anadwe no; na oguannhwi no nko no do yɛɛ wesee, na ɔbɔsu tɔree guu famu hɔ nyinara.", ""
