"JHN.8.1", "Na Jesus kɔr Ngo Bepɔw no do.", ""
"JHN.8.2", "Na ahanamakye no ɔbaa asɔrfi no mu bio, na ɔman no nyina baa ne nkyɛn, na ɔtsenaa ase kyerɛkyerɛɛ hɔn.", ""
"JHN.8.3", "Na kyerɛwfo no nye Farisiifo no dze basia bi a wɔakyer no awarto mu bae, na wɔdze no sii finimfin no, wɔsee no dɛ,", ""
"JHN.8.4", "Kyerɛkyerɛfo, wɔakyer ɔbaa yi wɔ awarto mu, dɛ ogu do reyɛ.", ""
"JHN.8.5", "Eso Moses wɔ mbra no mu hyɛɛ hɛn dɛ wonsiw dɛm nkorɔfo no abo: na ɔwo ese dɛn?", "#Lev 20.10; Deut 22.22-24"
"JHN.8.6", "Na iyi dze, wɔkae dze sɔɔ no hwɛe, ama woeenya biribi dze akɔtoa no. Na Jesus brɛɛ no mu adze dze ne nsatseaba kyerɛkyerɛɛw daadze.", ""
"JHN.8.7", "Na wɔda ho ara ribisa no no, ɔtseen no mu kaa kyerɛɛ hɔn dɛ,  Hom mu nyia bɔn nnyi no ho no, wɔmma ɔntow no bo kan.", ""
"JHN.8.8", "Na ɔbrɛɛ no mu adze bio, na ɔdze ne nsatseaba kyerɛkyerɛɛw daadze.", ""
"JHN.8.9", "Na hɔn dze, wɔtsee na hɔn tsibowa yii hɔn atsɛn no, wofii hɔ nkorkor fitsi mpanyimfo do besi hɔn a wodzi ekyir do, na ɔkaa Jesus nko nye ɔbaa no a ogyina finimfin no.", ""
"JHN.8.10", "Na Jesus tseen no mu na oennhu obiara dɛ ɔbaa no nko no, obisaa no dɛ,  Ɔbaa, w’atoafo no wɔ hen? Ana obi emmbu wo fɔ?", ""
"JHN.8.11", "Ɔsee no dɛ, Mo wura, obi emmbu me fɔ. Jesus see no dɛ,  Mo so mummbu wo fɔ: kɔ na mma nnkɛyɛ bɔn bio. ]", ""
"JHN.8.12", "Na Jesus kasaa kyerɛɛ hɔn bio dɛ,  Emi nye wiadze kan no: nyia odzi m’ekyir no rennantsew sum mu da, na obenya nkwa kan no.", "#Mat 5.14; Joh 9.5"
"JHN.8.13", "Farisiifo no see no dɛ, Ɔwo dze, idzi wankasa woho dase: wo dasee nnyɛ nokwar.", "#Joh 5.31"
"JHN.8.14", "Jesus buae see hɔn dɛ,  Sɛ midzi mankasa moho dase mpo a, me dasee yɛ nokwar, osiandɛ minyim mbrɛ mifi bae na mbrɛ morokɔ; naaso hom dze, hom nnyim mbrɛ mifi bae anaa mbrɛ morokɔ.", ""
"JHN.8.15", "Hom dze, hom bu honam enyi atsɛn, na emi dze, mummbu obi atsɛn.", ""
"JHN.8.16", "Na sɛ mubu atsɛn mpo a, nkyɛ m’atsɛmbu yɛ nokwar, osiandɛ nnyɛ mo nko na mowɔ hɔ, na emi nye Egya no a ɔsomaa me no.", ""
"JHN.8.17", "Na wɔakyerɛw wɔ hom mbra no mu so dɛ nyimpa beenu hɔn dasee yɛ nokwar.", "#Deut 19.15"
"JHN.8.18", "Midzi mankasa moho dase, na Egya no a ɔsomaa me no so dzi me dase.", ""
"JHN.8.19", "Na wobisaa no dɛ, Hen na w’Egya wɔ? Jesus buaa dɛ,  Hom nnyim me, eso hom nnyim m’Egya; sɛ hom nyim me a, nkyɛ hom nyim m’Egya so dɛmara.", ""
"JHN.8.20", "Ɔrekyerɛkyerɛ wɔ asɔrfi no mu sikakorabea hɔ no nna ɔkaa nsɛm yi; naaso obi ammfa ne nsa ennsuo no mu, osiandɛ nna ne mber nnyae nndurii.", ""
"JHN.8.21", "Jesus see hɔn bio dɛ,  Morokɔ, na hom bɔhwehwɛ me, na hom bowu wɔ hom bɔn mu: mbrɛ morokɔ no, hom nnkotum aba hɔ.", ""
"JHN.8.22", "Na Jewfo no see no dɛ, Oribedzi noho ewu anaa, na ɔse, Mbrɛ morokɔ no, hom runntum mmba hɔ yi?", ""
"JHN.8.23", "Na ɔsee hɔn dɛ,  Hom dze, hom fi famu dze mu; na emi dze, mifi ɔsor dze mu; hom dze, hom fi wiadze yi mu; emi dze, mimmfi wiadze yi mu.", ""
"JHN.8.24", "Dɛm ntsi mese hom dɛ hom bowu wɔ hom bɔn mu: sɛ hom nngye nndzi dɛ emi nye ɔno a, hom bowu wɔ hom bɔn mu.", ""
"JHN.8.25", "Nna wobisaa no dɛ, Woana nye wo? Jesus see hɔn dɛ,  Dza mifi ahyɛse maka akyerɛ hom no ara a.", ""
"JHN.8.26", "Na mowɔ hom ho nsɛm pii a meka na mubu hom atsɛn; na nyia ɔsomaa me no yɛ nokwafo, na dza matse wɔ no hɔ na meka kyerɛ wiadze.", ""
"JHN.8.27", "Wɔanntse ase dɛ Egya no ho asɛm na ɔreka kyerɛ hɔn no.", ""
"JHN.8.28", "Na Jesus see hɔn dɛ,  Sɛ hom nya ma nyimpa Ba no do a, nna hom bohu dɛ emi nye no, na dɛ mennhyɛ mankasa moho nnyɛ biribi, na dɛ mbrɛ Egya no kyerɛkyerɛ me no, dɛmara na meka yi.", ""
"JHN.8.29", "Na nyia ɔsomaa me no nye me tse: onngyaa mo nko, osiandɛ meyɛ dza ɔsɔ n’enyi daa.", ""
"JHN.8.30", "Na ɔreka dɛm nsɛm no, dodowara gyee no dzii.", ""
"JHN.8.31", "Na Jesus kaa kyerɛɛ Jewfo a wɔgyee no dzii no dɛ,  Sɛ hom tsena m’asɛm mu a, nna hom yɛ m’esuafo ampa;", ""
"JHN.8.32", "na hom bohu nokwar no, na nokwar no bɛyɛ hom adehye.", ""
"JHN.8.33", "Wobuaa no dɛ, Yɛyɛ Abraham asefo, yɛnnyɛɛ obi nkowaa da: ɔyɛ dɛn na ese dɛ, Hom bɛyɛ adehye yi?", ""
"JHN.8.34", "Jesus buaa hɔn dɛ, Meka kyerɛ hom wɔ nokwar mu dɛ,  obiara a ɔyɛ bɔn no, ɔyɛ bɔn n’akowaa;", ""
"JHN.8.35", "na akowaa nnka fie daa, na ɔba dze, ɔtsena hɔ daa.", ""
"JHN.8.36", "Dɛm ntsi sɛ Ɔba no yɛ hom adehye a, hom bɛyɛ adehye ampa.", ""
"JHN.8.37", "Minyim dɛ hom yɛ Abraham n’asefo, naaso hom rohwehwɛ me eku me, osiandɛ m’asɛm wura hom mu a ɔnnyɛ yie.", ""
"JHN.8.38", "Dza mehu wɔ m’Egya nkyɛn na meka na hom so hom yɛ dza hom atse wɔ hom egya nkyɛn.", ""
"JHN.8.39", "Wobuaa no dɛ, Hɛn egya nye Abraham. Jesus see hɔn dɛ,  Sɛ hom yɛ Abraham mba a, nkyɛ hom bɛyɛ Abraham ndwuma;", ""
"JHN.8.40", "na afei dze, hom rohwehwɛ me eku me, nyimpa a maka nokwar a metsee no Nyankopɔn nkyɛn akyerɛ hom: iyi dze, Abraham annyɛ bi.", ""
"JHN.8.41", "Hom yɛ hom egya ndwuma.  Wɔsee no dɛ, Nnyɛ ndwamanyɛ mu na wɔwoo hɛn: egya kor na yɛwɔ, ɔno nye Nyankopɔn.", ""
"JHN.8.42", "Jesus see hɔn dɛ,  Sɛ hom egya nye Nyankopɔn a, nkyɛ hom bɔdɔ me, osiandɛ mifi Nyankopɔn mu na maba; eso mannhyɛ moho na mebae, na ɔno na ɔsomaa me.", ""
"JHN.8.43", "Ebɛnadze ntsi na hom nntse me kasaa ase? Osiandɛ hom nntum nntsie m’asɛm.", ""
"JHN.8.44", "Hom fi hom egya abɔnsam no mu, na hom egya n’akɔndɔdze na hom pɛ dɛ hom yɛ. Ɔno na ɔyɛ owudzifo fitsi ahyɛse no, na ɔnntsena nokwar mu, osiandɛ nokwar no nnyi no mu. Sɛ ɔka atorsɛm a, ofi nankasa n’adze mu na ɔka, osiandɛ ɔyɛ ɔtorfo nye atorsɛm n’egya.", ""
"JHN.8.45", "Na emi dze, meka nokwar no ntsi, hom nngye me nndzi.", ""
"JHN.8.46", "Hom mu woana na obu me bɔn ho fɔ? Sɛ meka nokwar a, ɔyɛ dɛn na hom nngye me nndzi?", ""
"JHN.8.47", "Nyia ofi Nyankopɔn mu no, otsie Nyankopɔn nsɛm: iyi ntsi na hom nntsie, osiandɛ hom mmfi Nyankopɔn mu.", ""
"JHN.8.48", "Na Jewfo no buaa no dɛ, Ɛhɛɛ, nnyɛ nokwar no ara na yɛkae dɛ eyɛ Samarianyi na ewɔ abɔnsam no?", ""
"JHN.8.49", "Jesus buaa dɛ,  Minnyi abɔnsam, na midzi m’Egya nyi, na hom dze, hom nndzi me nyi.", ""
"JHN.8.50", "Na emi dze monnhwehwɛ mankasa m’enyimnyam, na obi wɔ hɔ a ɔhwehwɛ na obu atsɛn.", ""
"JHN.8.51", "Mereka akyerɛ hom wɔ nokwar mu dɛ, sɛ obi dzi m’asɛm do a, orunnhu wu ara da.", ""
"JHN.8.52", "Na Jewfo no see no dɛ, Afei na yeenya ehu dɛ ewɔ abɔnsam. Abraham nye nkɔnhyɛfo no wui, na ɔwo dze ese dɛ, Sɛ obi dzi m’asɛm do a, ɔronnsɔ owu nnhwɛ da.", ""
"JHN.8.53", "Ana ɔwo eso kyɛn hɛn egya Abraham a owui no? Na sɛ nkɔnhyɛfo no so wui a, na ɔwo ihu woho dɛn nye yi?", ""
"JHN.8.54", "Jesus buaa dɛ,  Sɛ mehyɛ moho enyimnyam a, m’enyimnyam nnyɛ hwee: m’Egya na ɔhyɛ me enyimnyam, ɔno a hom ka dɛ ɔyɛ hom Nyankopɔn no a;", ""
"JHN.8.55", "naaso hom nnyim no; na emi dze, minyim no; na sɛ meka dɛ minnyim no mpo a, mebɛyɛ ɔtorfo dɛ hom ara; na minyim no na midzi n’asɛm do.", ""
"JHN.8.56", "Hom egya Abraham dzii dɛw dɛ obohu me da; na ohunii, na n’enyi gyee.", ""
"JHN.8.57", "Na Jewfo no see no dɛ, Innyae nndzii mfe eduonum mpo, na isii dɛn hun Abraham?", ""
"JHN.8.58", "Jesus see hɔn dɛ,  Meka no nokwar mu kyerɛ hom dɛ, ansaana Abraham rebɛba no, nna mowɔ hɔ.", ""
"JHN.8.59", "Nna wɔtasee abo dɛ nkyɛ wɔrobɔtow abɔ no; na Jesus huntsaa noho na ofiir edzi fii asɔrfi no mu.", ""
